Profile,Name,Material,Color/Design Name,Backlit,Ave Rating,Price,Part,User1,User2,User3,User4
Cherry,R3 EPBT X GOK Kro/Shiro,PBT,White and Black,no,3.5,55.00,Keycap,3.3,3.3,3.7,3.7
Cherry,EnjoyPBT 9009,PBT,"White, Green, Gray and Pink",no,4.5,119.00,Keycap,4.0,5.0,4.8,4.0
Cherry,"EnjoyPBT Dye-Subbed ",PBT,Black and Red,no,4.4,95.00,Keycap,4.5,3.8,4.7,4.5
Cherry,"EnjoyPBT Dye-Subbed ",PBT,Black,no,3.9,95.00,Keycap,3.5,4.3,3.3,4.3
Cherry,EnjoyPBT Dye-Subbed,PBT,Black and Blue,no,4.2,95.00,Keycap,4.3,4.7,3.5,4.3
Cherry,EnjoyPBT Dye-Subbed,PBT,Black and Purple,no,3.8,95.00,Keycap,3.8,3.5,4.2,3.5
Cherry,EnjoyPBT Dye-Subbed,PBT,Black and Green,no,4.0,95.00,Keycap,4.3,4.8,3.5,3.5
Cherry,EnjoyPBT Dye-Subbed,PBT,Russian Red,no,4.5,95.00,Keycap,4.0,4.7,4.3,4.8
Cherry,EnjoyPBT Dye-Subbed,PBT,Russian Green,no,3.8,95.00,Keycap,3.3,4.2,3.7,4.2
Cherry,EnjoyPBT Dye-Subbed,PBT,Russian Black,no,3.5,95.00,Keycap,3.7,3.7,3.3,3.3
Cherry,EnjoyPBT Dye-Subbed,PBT,Russian Blue,no,4.1,95.00,Keycap,4.0,3.8,3.7,4.8
Cherry,EnjoyPBT Dye-Subbed,PBT,Russian Orange,no,3.7,95.00,Keycap,3.5,3.3,4.0,3.8
Cherry,EnjoyPBT Dye-Subbed,PBT,Korean Red,no,4.3,95.00,Keycap,4.2,4.7,3.7,4.5
Cherry,EnjoyPBT Dye-Subbed,PBT,Korean Blue,no,4.6,95.00,Keycap,4.2,4.2,5.0,5.0
Cherry,EnjoyPBT Dye-Subbed,PBT,Korean Purple and Gray,no,3.8,95.00,Keycap,3.3,4.7,3.3,3.8
Cherry,EnjoyPBT Dye-Subbed,PBT,Sushi Japanese,no,3.9,95.00,Keycap,3.5,3.3,4.7,4.0
Cherry,EnjoyPBT Blank,PBT,Dark Gray,no,4.1,38.90,Keycap,4.0,3.8,4.0,4.5
Cherry,EnjoyPBT Blank,PBT,White and Gray,no,4.6,42.00,Keycap,5.0,4.8,3.7,4.8
Cherry,EnjoyPBT Blank,PBT,Black,no,4.0,38.90,Keycap,4.3,3.8,3.7,4.2
Cherry,EnjoyPBT Blank,PBT,White,no,4.1,38.90,Keycap,3.3,4.7,3.8,4.7
Cherry,EnjoyPBT Blank,PBT,Cream,no,3.8,38.90,Keycap,3.5,4.8,3.3,3.7
Cherry,Cheryy Profile Dye-Subbed,PBT,English,no,4.0,109.00,Keycap,4.2,4.5,3.5,4.0
Cherry,Cheryy Profile Dye-Subbed,PBT,Korea,no,4.6,109.00,Keycap,4.5,5.0,4.2,4.7
Cherry,EPBT Kon Momo,PBT,White,no,4.5,75.00,Keycap,5.0,4.8,3.7,4.3
Cherry,EPBT X Openkeyless but Better,PBT,White,no,4.3,79.00,Keycap,3.3,4.7,4.5,4.8
Cherry,GK64 XD64 DZ60,PBT,Dye-sub,no,4.3,30.00,Keycap,4.3,3.7,4.5,4.5
Cherry,GK64 XD64 DZ60,PBT,Black and Dark Gray,no,3.7,25.00,Keycap,3.7,4.3,3.3,3.5
Cherry,GK64 XD64 DZ60,PBT,Black and Light Gray,no,4.1,25.00,Keycap,4.0,5.0,3.5,3.8
Cherry,R2 EnjoyPBT Grayscale,PBT,White and Light Gray,no,4.3,114.00,Keycap,5.0,3.5,4.7,4.0
Cherry,Dye-Subbed,PBT,Cement Gray,no,4.0,29.00,Keycap,3.8,5.0,3.7,3.7
Cherry,R2 EPBT X BIIP Cool Kids,PBT,White,no,4.1,89.00,Keycap,4.3,4.5,4.2,3.5
Cherry,Dye-Subbed Bob,PBT,Dark Gray,no,4.5,28.00,Keycap,5.0,4.5,3.7,4.8
Cherry,Sakura,PBT,White and Pink,no,3.9,86.00,Keycap,3.7,4.7,3.8,3.3
Cherry,EnjoyPBT Doubleshot WOB,ABS,Black,no,4.0,69.00,Keycap,3.7,3.3,4.8,4.0
Cherry,Chalk 124 Keys,PBT,Assorted Colors,no,4.3,49.00,Keycap,4.5,4.0,4.3,4.5
Cherry,Carribean Dye-Subbed,PBT,White and Black,no,4.2,59.00,Keycap,4.5,4.0,4.5,3.7
Cherry,GB EPBT 6085,PBT,White and Gray,no,4.3,79.00,Keycap,4.5,4.5,3.5,4.5
Cherry,NPKC Dye-subbed 64 Japanese,PBT,White and Light Gray,no,4.0,29.00,Keycap,3.8,4.7,3.8,3.5
Cherry,Dye-Subbed Side Printed,PBT,"White, Blue and Pink",no,4.2,38.00,Keycap,4.3,4.8,4.2,3.3
Cherry,EPBT X EnjoyMyInsec Spectrum,PBT,Assorted Colors,no,4.3,89.00,Keycap,4.8,3.7,3.8,4.7
Cherry,Childhood Dye-Subbed,PBT,"White, Blue and Pink",no,4.1,49.00,Keycap,4.5,3.8,4.7,3.3
Cherry,Ink Painting Dye-Subbed,PBT,White,no,3.9,86.00,Keycap,3.8,3.8,4.3,3.7
Cherry,Chalk A,PBT,Assorted Colors,no,4.2,49.00,Keycap,4.7,4.0,4.3,3.8
Cherry,EPBT Sniper,PBT,"White, Black and Green",no,4.6,99.00,Keycap,4.8,4.0,4.8,4.7
Cherry,Dye-Subbed Cheese,PBT,Black and Yellow,no,3.9,59.00,Keycap,3.7,3.7,4.0,4.3
Cherry,EnjoyPBT Slate,PBT,Dark Gray and Gray,no,4.1,100.00,Keycap,4.8,3.3,4.2,4.2
Cherry,GMK Arch,PBT,Black and White,no,3.8,138.00,Keycap,3.3,3.5,4.5,3.8
Cherry,GB GMK Seafarer,PBT,White and Navy Blue,no,4.0,137.00,Keycap,4.8,4.2,3.7,3.5
Cherry,EPBT Venice Doubleshot,ABS,Dark Gray and Gray,no,4.4,69.00,Keycap,4.3,4.8,4.5,3.8
Cherry,EPBT Donutcat Royal Alpha,PBT,Whtie and Green,no,4.3,99.00,Keycap,4.2,5.0,4.0,4.0
Cherry,GMK Nines,ABS,Black,no,4.0,179.00,Keycap,3.3,4.5,3.8,4.3
Cherry,NPKC White Orange Dye-Subbed,PBT,White and Orange,no,4.2,35.00,Keycap,4.7,3.3,3.8,4.8
Cherry,Violet,PBT,"White, Blue and Red",no,4.0,29.00,Keycap,4.2,4.5,3.7,3.8
Cherry,Winmix Peach,PBT,"White, Green and Yellow",no,4.5,45.00,Keycap,5.0,3.7,4.8,4.7
Cherry,KBDfans Blank,PBT,White,no,3.5,23.00,Keycap,3.3,3.7,3.5,3.3
Cherry,Dolch Dye-Subbed,PBT,Black and Dark Gray,no,3.8,59.00,Keycap,4.2,3.3,3.5,4.3
Cherry,EnjoyPBT Arabic Dye-Subbed,PBT,Whtie and Gray,no,3.9,89.00,Keycap,3.8,3.5,3.3,5.0
SA,Maxkey Foundation SA,ABS,White and Gray,no,3.9,99.00,Keycap,4.5,3.5,3.7,3.8
SA,Chalk,PBT,Assorted Colors,no,3.8,75.00,Keycap,4.7,3.3,3.3,3.8
SA,Maxkey Virtual War,PBT,Black and White,no,4.2,83.00,Keycap,4.7,3.3,4.8,4.0
SA,Maxkey X York Chan 2600,ABS,Blue and Magenta,no,4.7,19.00,Keycap,4.2,4.8,4.7,5.0
SA,Maxkey Night Miami,ABS,Black,no,4.5,99.00,Keycap,4.5,3.8,4.7,5.0
SA,Winmix 9009,PBT,"White, Light Gray and Orange",no,4.3,84.90,Keycap,4.8,4.5,3.8,3.8
SA,Maxkey Doubleshot,ABS,Black,no,3.9,99.00,Keycap,4.0,4.0,4.3,3.3
SA,Maxkey Doubleshot,ABS,Blue and Gray,no,3.8,99.00,Keycap,4.2,3.7,3.8,3.3
SA,Maxkey Doubleshot,ABS,White and Green,no,4.4,99.00,Keycap,4.3,4.2,5.0,4.2
SA,Maxkey Dolch,ABS,Black and Gray,no,4.0,99.00,Keycap,4.5,4.0,3.3,4.3
SA,Maxkey Doubleshot,ABS,White and Blue,no,4.2,99.00,Keycap,4.2,4.2,3.7,4.7
SA,Maxkey Doubleshot,ABS,White and Cyan,no,4.1,99.00,Keycap,4.3,4.3,3.3,4.5
SA,Maxkey Stars,ABS,Black,no,4.7,99.00,Keycap,4.8,4.3,4.7,4.8
SA,Maxkey Chocolate,ABS,Black and Brown,no,4.3,99.00,Keycap,4.2,4.8,4.2,4.2
SA,Maxkey Doubleshot,ABS,White and Pink,no,4.2,99.00,Keycap,4.0,4.5,4.7,3.5
SA,Violet Dye-Subbed Full 163/116 Keys,PBT,White and Violet,no,3.9,58.00,Keycap,3.5,3.3,5.0,3.8
SA,Maxkey Doubleshot,ABS,Gray and Blue,no,4.2,99.00,Keycap,5.0,3.8,3.7,4.3
SA,Maxkey Miami,ABS,Green and Pink,no,4.1,99.00,Keycap,4.7,3.5,4.7,3.5
SA,Control Code,PBT,White and Gray,no,3.6,75.00,Keycap,4.0,3.5,3.3,3.7
SA,Maxkey Coffee,ABS,Navy Blue and Brown,no,4.5,99.00,Keycap,4.8,4.7,4.5,4.0
SA,Restor,PBT,White and Light Gray,no,4.0,69.00,Keycap,3.3,4.2,4.2,4.5
SA,Maxkey Deep Blue,ABS,Blue and Green,no,3.6,99.00,Keycap,3.5,3.5,3.7,3.8
SA,Maxkey KA,ABS,Blue and Orange,no,4.1,99.00,Keycap,4.8,4.0,4.2,3.3
SA,Domikey Retro Graffiti Full,ABS,"White, Orange and Green",no,4.3,139.00,Keycap,4.0,4.8,3.5,4.7
SA,Midnight,PBT,Black,no,3.8,69.00,Keycap,4.3,3.3,3.5,4.2
SA,Retro,PBT,"White, Light Gray and Green",no,4.3,43.00,Keycap,5.0,3.8,3.7,4.7
SA,Maxkey F22,ABS,Black and White,no,4.0,99.00,Keycap,4.0,3.5,4.3,4.2
SA,Maxkey F22,ABS,White,no,4.3,99.00,Keycap,4.0,5.0,4.7,3.5
SA,Maxkey Ocean,ABS,Blue and Purple,no,4.1,99.00,Keycap,3.5,4.3,4.5,4.0
SA,Vintage Dye-Subbed,PBT,White and Beige,no,4.3,59.00,Keycap,4.2,4.2,3.8,4.8
SA,Retro,PBT,White and Gray,no,3.7,36.00,Keycap,3.3,4.5,3.7,3.3
SA,Maxkey Doubleshot,ABS,Gray and Orange,no,4.1,99.00,Keycap,3.5,4.7,5.0,3.3
DSA,"DSA 9009 75 ",PBT,White and Beige,no,3.8,32.00,Keycap,3.5,4.5,3.5,3.5
DSA,NPKC DSA 9009 125 Keys,PBT,White and Beige,no,4.0,43.00,Keycap,5.0,3.5,3.5,3.8
DSA,Ergodox Blank,PBT,White,no,4.2,35.00,Keycap,3.8,5.0,3.5,4.5
DSA,Ergodox Blank,PBT,Black,no,4.4,35.00,Keycap,4.5,3.3,4.8,5.0
DSA,Ergodox Blank,PBT,White and Gray,no,4.0,35.00,Keycap,4.7,3.3,3.5,4.5
DSA,Ergodox Blank,PBT,White and Blue,no,3.8,35.00,Keycap,3.8,3.8,4.0,3.5
DSA,Ergodox Blank,PBT,Black and Dark Gray,no,4.1,35.00,Keycap,3.5,3.3,4.8,4.8
DSA,Ergodox Blank,PBT,Blue and Yellow,no,4.3,35.00,Keycap,5.0,4.5,3.3,4.3
DSA,Ergodox Blank,PBT,Gray,no,4.2,35.00,Keycap,4.2,4.2,4.3,4.0
DSA,Ergodox Blank,PBT,Light Gray,no,4.3,35.00,Keycap,3.7,4.3,4.2,5.0
DSA,Ergodox Blank,PBT,Assorted Colors,no,4.3,35.00,Keycap,4.8,4.2,4.5,3.8
DSA,Dolch 145 Keys,PBT,Black and Gray,no,4.3,63.00,Keycap,5.0,3.5,4.7,3.8
DSA,Pitta Studio Bluebird,PBT,White and Beige,no,3.9,79.00,Keycap,4.8,3.3,3.7,3.8
DSA,Blank 104 Keys,PBT,Black,no,4.2,24.00,Keycap,4.8,3.8,3.7,4.5
DSA,Blank 104 Keys,PBT,White,no,4.3,24.00,Keycap,4.0,4.0,4.3,4.7
DSA,Blank 104 Keys,PBT,White and Gray,no,4.1,24.00,Keycap,4.7,3.3,4.8,3.7
DSA,Blank 104 Keys,PBT,Purple and Pink,no,4.0,24.00,Keycap,4.0,3.3,4.5,4.0
DSA,Chalk Dye-Subbed 151 Keys,PBT,Assorted Colors,no,4.3,65.00,Keycap,4.0,4.7,3.5,4.8
DSA,NPKC 154,PBT,White and Light Gray,no,4.7,66.00,Keycap,4.3,4.8,4.8,4.8
DSA,Hawaii Them,PBT,"White, Green and Red",no,4.1,34.00,Keycap,4.8,4.0,3.5,4.0
DSA,Nordic Layout,PBT,"White, Light Gray and Red",no,4.2,49.00,Keycap,3.8,4.2,5.0,3.7
DSA,145 Keys,PBT,White and Blue,no,3.8,49.00,Keycap,3.7,3.7,3.5,4.5
DSA,Dye-Subbed 123 Keys,PBT,White and Light Gray,no,4.3,45.00,Keycap,4.7,4.5,4.2,3.7
DSA,145 Keys,PBT,Blue and Yellow,no,4.2,49.00,Keycap,3.8,5.0,4.3,3.5
DSA,NPKC 111,PBT,White and Light Gray,no,4.3,36.80,Keycap,5.0,3.5,3.8,4.7
OEM,Backlit Translucent Pudding 144 Keys,PBT,White,yes,4.0,26.00,Keycap,5.0,3.7,3.5,4.0
OEM,"Backlit Translucent ",PBT,Black,yes,4.3,22.00,Keycap,4.5,3.5,4.7,4.5
OEM,NPKC 104 Keys Side Print,PBT,Black,no,3.9,25.00,Keycap,3.5,4.8,3.5,3.7
OEM,NPKC 104 Keys Side Print,PBT,White,no,4.6,25.00,Keycap,4.8,3.5,5.0,5.0
OEM,NPKC 104 Keys Side Print,PBT,Pink,no,4.3,25.00,Keycap,4.5,4.3,5.0,3.5
OEM,NPKC 104 Keys Side Print,PBT,Green,no,4.3,25.00,Keycap,4.3,4.5,4.8,3.3
OEM,NPKC 104 Keys Side Print,PBT,Red,no,3.8,25.00,Keycap,4.0,4.3,3.3,3.7
OEM,NPKC 104 Keys Side Print,PBT,Blue,no,4.0,25.00,Keycap,3.5,3.5,4.3,4.8
OEM,NPKC 104 Keys Side Print,PBT,Black and Red,no,4.3,25.00,Keycap,4.8,3.5,3.8,5.0
OEM,NPKC 104 Keys Side Print,PBT,White and Light Blue,no,4.6,25.00,Keycap,4.7,4.2,4.8,4.7
OEM,NPKC 104 Keys Side Print,PBT,Whtie and Light Green,no,4.3,25.00,Keycap,3.5,4.8,3.8,5.0
OEM,Backlit Translucent Pudding 144 Keys,PBT,Black,yes,4.4,26.00,Keycap,5.0,4.3,3.8,4.5
OEM,117 Dolch Keyset,PBT,Black and Gray,no,4.4,35.00,Keycap,4.8,3.8,5.0,3.8
OEM,Dye-Subbed,PBT,Beige and Light Blue,no,4.5,26.00,Keycap,4.0,5.0,4.2,4.8
OEM,Blank 104 Keys,PBT,Pink and Blue,no,4.4,19.00,Keycap,4.5,4.8,4.2,4.2
OEM,Blank 104 Keys,PBT,Dark Grey,no,4.0,19.00,Keycap,4.2,5.0,3.5,3.5
OEM,Blank 104 Keys,PBT,Black,no,4.2,19.00,Keycap,4.2,5.0,3.7,3.8
OEM,Blank 104 Keys,PBT,Light Gray,no,4.4,19.00,Keycap,5.0,4.3,3.3,5.0
OEM,Blank 104 Keys,PBT,White,no,4.0,19.00,Keycap,3.7,4.0,5.0,3.5
OEM,Blank 104 Keys,PBT,Cyan,no,4.0,19.00,Keycap,5.0,4.0,3.3,3.7
OEM,Blank 104 Keys,PBT,Blue,no,3.9,19.00,Keycap,3.8,4.3,3.5,3.8
OEM,Blank 104 Keys,PBT,Pink,no,4.3,19.00,Keycap,4.8,4.5,3.3,4.7
OEM,KBDfans EC 9009 HHKB,PBT,White and Beige,no,4.6,43.00,Keycap,3.8,4.7,4.8,5.0
OEM,Dye-subbed,PBT,Beige and Light Blue,no,4.5,35.00,Keycap,4.3,4.2,4.8,4.8
OEM,104 Keys,PBT,"Beige, Light Blue and Orange",no,4.0,28.00,Keycap,4.5,3.8,4.5,3.3
OEM,KBDfans DZ60 RGB Laser Engrave Backlit,ABS,Black,yes,4.0,28.90,Keycap,4.7,4.3,3.5,3.7
OEM,104 Side Printed Backlit,ABS,Black,yes,4.4,27.90,Keycap,5.0,4.7,3.5,4.3
OEM,GK64 Layout Backlit,ABS,Black and White,yes,4.3,29.00,Keycap,4.2,4.8,3.7,4.5
OEM,Side Printed,PBT,Black and Gray,no,4.3,19.00,Keycap,4.2,4.8,3.7,4.7
OEM,Pudding Backlit Translucent,PBT,Pink,yes,4.5,26.00,Keycap,5.0,4.8,4.2,4.2
OEM,Pudding Backlit Translucent,PBT,Blue,yes,4.4,26.00,Keycap,3.8,4.7,4.2,4.8
OEM,Pudding Backlit Translucent,PBT,Orange,yes,4.0,26.00,Keycap,4.2,3.5,4.0,4.2
OEM,Minila,PBT,Gray and Green,no,4.2,28.00,Keycap,3.5,5.0,4.7,3.5
OEM,KBDfans Side Printed Backlit 104 Keys,ABS,Black and White,yes,4.2,35.00,Keycap,3.7,4.7,3.5,5.0
OEM,Double-skin Pudding,PBT,Red,no,4.0,24.00,Keycap,3.8,3.8,4.5,4.0
OEM,Double-skin Pudding,PBT,Yellow,no,4.1,24.00,Keycap,5.0,3.5,3.7,4.2
OEM,Double-skin Pudding,PBT,Brown,no,4.3,24.00,Keycap,4.7,4.0,4.2,4.5
OEM,Double-skin Pudding,PBT,Pink,no,3.7,24.00,Keycap,3.3,4.3,3.5,3.7
OEM,KBDfans Laser Engrave Backlit,ABS,Black,yes,3.8,30.90,Keycap,4.2,3.3,3.8,3.7
OEM,EC Russian Compatible HHKB,PBT,White and Gray,no,3.6,49.00,Keycap,4.0,3.5,3.5,3.5
OEM,Filco Minila,PBT,"White, Light Blue and Orange",no,4.3,28.00,Keycap,4.3,4.2,4.2,4.7
OEM,Wooden,Wood,Wood,no,3.8,109.00,Keycap,3.8,3.3,4.5,3.5
OEM,Wooden Blank,Wood,Wood,no,4.1,126.00,Keycap,4.3,4.5,4.2,3.5
OEM,KBDfans Top Printed Backlit,ABS,Black,yes,4.3,25.00,Keycap,4.5,4.7,4.0,3.8
